,answer_idx,qid,show_name,ts,vid_name,QUESTION ENGLISH,ANSWER ENGLISH,QUESTION HINDI,ANSWER HINDI,QUESTION CODEMIX,ANSWER CODEMIX,Transcript
2122,1,4479,The Big Bang Theory,34.81-53.38,s03e03_seg02_clip_05,How did Penny respond after Sheldon told her they were watching anime?,Penny remembered a girl named Anna May Fletcher from high school.,"जब शेल्डन ने पेनी से कहा कि वे एनिमे देख रहे हैं, तो पेनी ने कैसे प्रतिक्रिया दी?",पेनी को हाई स्कूल से ऐना मे फलेट्चर नाम की एक लड़की याद आई।,"जब Sheldon ने Penny से कहा कि वे anime देख रहे हैं, तो Penny ने कैसे प्रतिक्रिया दी?",Penny को high school से Anna May Fletcher नाम की एक लड़की याद आई।," Second girl : What's your names?  Howard : -I'm Howard. -Raj.  Girl : -I'm Bethany. -Nice to meet you, Bethany.  Raj : Yes, very nice.  Bethany : Nice to meet you too.  Second girl : I'm Sarah. Not that anyone cares.  Raj : Do either of you ladies enjoy the novels of John Grisham? [MAN SPEAKING IN JAPANESE ON TV]  Penny : What's this cartoon called again? Oshikuru : Demon Samurai.  Sheldon : And it's not a cartoon, it's anime.  Penny : Anime. You know, I knew a girl in high school named Anna May.  Penny : Anna May Fletcher.  Penny : She was born with one nostril.  Penny : Then she had this bad nose job and basically wound up with three. [CHUCKLING]"
1073,2,79786,House M.D.,153.74-168.02,house_s08e10_seg02_clip_25,What did House tell Foreman after he mentioned that he is not like House?,House told him it was true he is not like him because he has no limp.,"जब फोरमैन ने कहा कि वह हाउस जैसा नहीं है, तो हाउस ने उसे क्या जवाब दिया?",,हाउस ने Foreman को क्या कहा जब उसने कहा कि वो हाउस की तरह नहीं है?,," Adams : Callie agrees with you.  Adams : That people don't change.  Adams : She said when her mom slips again, she didn't want to be there.  Adams : She'd rather remember her like she is now.  House : Smart girl.  Adams : You got the ending you wanted. Because I was only looking to solve the case, not their lives.  House : I don't care if the people who work for me are screwed up,  House : in fact I even encourage it,  House : but absolution, do that on your own time.  House : Or not at all.  House : Cause clearly you suck at it.  Taub : This is Aaron Rodgers.  Taub : Wow, 127 quarterback rating.  Ellen : Do you know what sound he makes? Okay. Ow! Um...  Taub : This is Terrell Owens. People call him T.O.  Ellen : Do you know what sound he makes?  Taub : This is Mark Sanchez.  Taub : Do you know what sound people make about him?  House : Working late?  House : Husband have her tonight?  Foreman : And every night.  Foreman : She broke it off.  Foreman : It's for the best.  Foreman : I'm not really an affair guy after all.  House : Sure you are, buddy.  House : You just lost interest once it stopped being an affair.  House : That's why you're relieved.  House : But don't worry, it's not gonna end here.  House : You'll just have to get your adrenaline fix somewhere else.  House : When that doesn't do it anymore,  House : you'll just escalate things somehow.  House : At least that's what I've been told.  Foreman : I'm not like you, House.  House : True. No limp."
251,2,8721,The Big Bang Theory,19.05-27.45,s07e03_seg02_clip_14,What does Sheldon pick up when he and Penny go to the washing machines?,A bag,"जब शेल्डन और पेनी वॉशिंग मशीन पर गए, तो शेल्डन ने क्या उठाया?",शेल्डन ने लॉन्ड्री बास्केट उठाया जब वह और पेनी वॉशिंग मशीन की तरफ गए।,"जब Sheldon और Penny washing machine पर गए, तो Sheldon ने क्या उठाया?",Sheldon ने laundry basket उठाया जब वह और Penny washing machine की तरफ गए।,"Come on!  Leonard : Yeah, Penny might be onto something. -To the planetarium! -Let's go! -To the tar pits! -Let's go! There's a Nell Diamond concert next month! Let's go!  Penny : Three bags, no one's opened 'em. Ware the first ones here!  Sheldon : -It's dirty laundry. You're up. -Why me?  Sheldon : Because you've been training for this your whole life.  Sheldon : You live in a pile of dirty laundry.  Bernadette : They're here first. This is because  Bernadette : you made me slow down for that blind guy.  Penny : -Okay, the clue must be in the bag. -The clue must be in the bag.  Penny : -It's just a bunch of pants. -It's just a bunch of pants.  Penny : You know, I'm surprised you want to copy my answers  Penny : since I'm not even smart enough to be on your team.  Leonard : Well, why would you want to be on someone's team  Leonard : who you like to call a-- I can't even say it in front of Sheldon."
1436,0,113788,House M.D.,10.3-17.91,house_s07e07_seg02_clip_10,Where was foreman when he replied House about the use of the equipment?,Foreman was sitting in front of the bookshelf,फोरमैन कहाँ था जब उसने हाउस को उपकरण के उपयोग के बारे में जवाब दिया?,,"जब House ने equipment के इस्तेमाल को लेकर Foreman से बात की, तब वह कहां था?",," House : Head pain is caused by trauma.  House : Which would include such events  House : as a bleed in the brain from TB.  Taub : - We're back to TB? - We never left.  Foreman : We'll need to do a CT.  Foreman : And I sort of have a hunch that the CDC is not gonna approve of us moving the patient.  House : Chase, can I talk to you outside for a second? We just tried this. I'm not a better liar than Foreman.  House : Sure you are. You're descended from convicts.  House : Plus, there's no lie this time, just a bait and switch.  House : You propose that we don't have to move him  House : if we do a pneumo-encephalograph.  Chase : That's 60-year-old technology that killed patients. Exactly. He'll compromise on the CT...  Chase : This isn't Cuddy. Your Jedi mind tricks won't work here. These aren't the droids you're looking for.  Masters : You don't trust me.  House : Going behind your back works better when you're not facing us.  Masters : Instead of whatever lie you're gonna tell Broda,  Masters : why don't you just tell him the truth?  Masters : If we're honest and reasonable... Then people of all races and creeds  House : will live together in peace and harmony...  Masters : How did your first plan work out?  House : Permission granted.  Captain : Thank you.  House : After she gets denied, do the bait and switch.  Wilson : They won't let your mommy back in the hospital  Wilson : because of an emergency downstairs.  Wilson : But we have to get started.  Eve : I can't do it without my Lamby.  Wilson : Who is she?"
1639,3,5725,Grey's Anatomy,0-31.18,grey_s03e02_seg02_clip_10,Why did Bailey get angry when Karev pushed Marley's Dad.,Doctors should not get physical with anyone at the hospital.,"जब कावेरी ने मार्ले के पिता को धक्का दिया, तो बेइली क्यों गुस्सा हुई?",डॉक्टरों को अस्पताल में किसी के साथ शारीरिक संपर्क नहीं करना चाहिए।,"जब Kaveri ने Marley के पिता को धक्का दिया, तो Bailey गुस्सा हुई क्योंकि यह unprofessional था?",Doctors को hospital में किसी के साथ physical contact नहीं करना चाहिए।," MARLEY : hospital? What's the matter with me?  MR. MARLEY : - You're an idiot, that's what. - Dad?  BAILEY : - Back away. - Your friends are idiots,  MR. MARLEY : and you don't use the sense God gave you.  NURSE : You're blocking our path. Please! - Are you OK? - Sir.  MR. MARLEY : You son of a bitch. Where's my son?  BAILEY : We took him in there. - He was blocking them! - He is terrified. His child is a tree!  BAILEY : Listen to me. You will not get physical  BAILEY : with another human being on my watch ever again.  BAILEY : You will not question my authority. You will not defend your girlfriend  BAILEY : for killing a man. Are we clear?  ALEX : She's not my girlfriend.  MRS. BURKE : As you know, I'm sure, he graduated first in his class from Tulane.  CHRISTINA : I... I did know that.  CHRISTINA : Actually, I graduated first in my class at Stanford.  MRS. BURKE : So you are planning to pursue a less time-consuming specialty.  MRS. BURKE : Obstetrics perhaps? Or family medicine?  CHRISTINA : - Oh, I'm in the surgical program. - But after you're married?  CHRISTINA : Married? I'm sorry, married? Come, Cristina. You must have considered the possibility.  MRS. BURKE : You're no spring chicken.  MRS. BURKE : I don't know a young woman who wouldn't want to marry my Preston. He's handsome, he's brilliant.  MRS. BURKE : He's the best thing I've done in my life.  MRS. BURKE : He's the most important thing in the world to me. Oh... OK. Oh, Burke, Burke! Burke's here. Preston Burke is here.  BURKE : What a surprise. My two favorite ladies all in one place."
670,3,85552,Grey's Anatomy,81.01-89.02,grey_s03e20_seg02_clip_19,What did Izzie do when she ended to talk with George?,She cried,जब इज़ी ने जॉर्ज से बात खत्म की तो उसने क्या किया?,"जब इज़ी ने जॉर्ज से बात खत्म की, तो उसने रो दिया।","जब Izzie ने George से बात खत्म की, तो उसने रो दिया?","जब Izzy ने George से बात खत्म की, तो उसने रो दिया।"," Izzie : But I knew, even at 16 I knew, that baby deserved better than life at a Chehalis trailer park.  Izzie : And now she's here and...  Izzie : ...and she might be dying and she doesn't want to meet me.  Izzie : Oh, crap.  Izzie : I didn't think I really cared until she said no. How about that?  Izzie : I can say Hail Mary's until...  Izzie : ...until I turn into Mary, but I still miss you.  Colin : Not the... ...the sex. It was not tragic, George.  Izzie : But I'll live without it.  Izzie : I won't make it if you can't be my friend.  Izzie : If we can't...  George : What you did today,  George : you should be proud."
2194,0,2114,The Big Bang Theory,30.13-44.64,s04e13_seg01_clip_01,What did Penny do when she heard it was going to be a spa vacation?,Penny cancelled her plans,"जब पेननी को पता चला कि यह एक स्पा वेकेशन होने वाला है, तो उसने क्या किया?","जब पेननी ने सुना कि यह एक स्पा छुट्टी होने जा रही है, तो वह उत्साहित हो गई और पैकिंग करने लगी।","जब Penny को पता चला कि यह एक spa vacation होने वाला है, तो उसने क्या किया?","जब Penny ने सुना कि यह एक spa vacation होने जा रहा है, तो वह excited हो गई और packing करने लगी।"," Penny : I'm your best friend?  Amy : Don't you read my blog?  Penny : Oh, don't feel bad.  Penny : I never read Leonard's, and I used to sleep with him.  Amy : Do you know anybody else who would appreciate  Amy : an all-expense-paid spa weekend  Amy : at a four-star resort in Big Sur?  Penny : No, I really-- I'm sorry, free what? Sorry, what, what?  Leonard : I think her weekend just opened up.  Penny : Wait, wait, just to be clear, when you guys say ""spa,""  Penny : does that mean the same thing as when regular people say it?  Leonard : Pretty much.  Leonard : Except we keep our shirts on in the sauna.  Penny : You know, it is going to be difficult,  Penny : but I'm going to cancel my plans so I can do this for my bestie.  Amy : Please don't touch my breasts.  Penny : I... I wasn't going to.  Amy : All right. I just want to establish boundaries.  Penny : Boy, this is great. I haven't had a vacation in ages.  Sheldon : In order to take a vacation, one first has to work.  Penny : You know, for a smart guy,  Penny : you really seem to have a hard time grasping the concept ""don't piss off the people who handle the things you eat.""  Amy : That does seem to be a valid principle.  Sheldon : I trust Penny will adhere to the ""Official California Restaurant Workers'  Sheldon : Solemn Oath of Ethics and Cleanliness.""  Amy : I don't believe there's any such thing.  Sheldon : You lied to me?"
2111,0,15860,How I Met You Mother,27.78-36.35,met_s06e02_seg02_clip_14,Who is singing with Barney and Sam when they are in front of the piano?,James is singing with Barney and Sam.,"जब वे पियानो के सामने होते हैं, तो बार्नी और सैम के साथ कौन गा रहा होता है?","रॉबिन, बार्नी और सैम के साथ पियानो के सामने गा रही होती है।","जब वे piano के सामने होते हैं, तो Barney और Sam के साथ कौन singing कर रहा होता है?","Robin, Barney और Sam के साथ piano के सामने singing कर रही होती है।","They don't understand what I'm talking. During that afternoon, Sam and James began to discover how much they had in common.  Sam : You know this.  Sam : There you go.  Robin : - Weird day. - Weird day.  Robin : Look at that! Liz wants to meet you."
168,3,78120,Grey's Anatomy,0-6.05,grey_s03e01_seg02_clip_23,What guy does Finn refer to after the scene begins?,Finn refers to Derek after the scene begins.,फिन ने दृश्य की शुरुआत के बाद किस आदमी का उल्लेख किया?,फिन दृश्य शुरू होने के बाद डेरेक का ज़िक्र करता है।,Scene शुरू होने के बाद Finn किस guy का ज़िक्र करता है?,फिन scene begin होने के बाद Derek का ज़िक्र करता है।," FINN : I don't know what happened last night.  FINN : - Between you and Derek. - Finn. And I don't wanna know.  FINN : We never said that we were exclusive.  MEREDITH : - But you have plans. - Yeah.  FINN : Well, I didn't say I wasn't pissed off.  FINN : I said we weren't exclusive. That's all I wanted to say. Oh, and... And this.  FINN : I know you think you're scary and damaged.  CHRISTINA : Dark and twisty.  FINN : It makes you feel like you don't deserve good things,  FINN : but you do. And Derek... he's bad for you. But me, I'm a good thing.  FINN : And if there's a race, if there's a ring, my hat is in.  ADELE : I made an appointment for a reason.  ADELE : I scheduled the time because I had something important to say and you  ADELE : - made me wait. - I have a situation. I spent my life waiting. Waiting for you to finish med school,  ADELE : waiting for you to come home at night, waiting for you to leave that... woman.  ADELE : - I'm done waiting. - Adele... It's time for you to make a choice. Me or this hospital. It's time for you to retire, Richard."
1846,4,80775,How I Met You Mother,3.61-26.44,met_s06e11_seg02_clip_18,Why did Zoey say she pretended to be sick after she said she had a confession?,She felt guilty for lying to the Captain and wanted Ted to spend time with him.,"जब ज़ोई ने कबूल किया कि उसे कुछ बताना है, तो उसने क्यों कहा कि उसने बीमार होने का नाटक किया?","जब ज़ोई ने कबूल किया कि उसे कुछ बताना है, तो उसने कहा कि उसने बीमार होने का नाटक इसलिए किया क्योंकि वह किसी चीज़ से बचना चाहती थी या उसे कोई कबूलनामा करना था।","जब Zoey ने confess किया कि उसे कुछ बताना है, तो उसने क्यों कहा कि उसने बीमार होने का नाटक किया?","जब Zoey ने confession किया, तो उसने कहा कि उसने sick होने का नाटक इसलिए किया क्योंकि वह किसी चीज़ से avoid करना चाहती थी या उसे कोई confession करना था।","There you go.  Zoey : Hey, Ted.  Ted : Hey. You feeling better?  Zoey : I have a confession to make.  Zoey : I wasn't really sick.  Ted : You weren't?  Lily : I'm sorry.  Zoey : I was just feeling guilty  Zoey : that I lied to The Captain and...  Zoey : I don't know, I just thought it would be good  Zoey : if you two spent some time together.  Ted : I get it.  Ted : And you were right.  Ted : He's a nice guy.  Ted : I mean, he can be a little scary.  Zoey : Yeah, he gets a little murder-y when he's nervous.  Ted : Yeah, he's a creepy dude.  Ted : But I like him.  Ted : And I just want to make sure  Ted : you and I hanging out  Ted : doesn't, you know, cross any lines.  Marshall : Me, too.  Ted : I mean, if either one of us had even the slightest hint  Ted : of feelings for the other, we shouldn't hang out.  Ted : You don't, do you?  Zoey : No. Do you?  Marshall : No.  clock ticking   Sailor #1 : Still no sign of land.  Sailor #2 : It's been 243 days since we've seen  Sailor #2 : another living soul.  Sailor #2 : What are you looking at?  Sailor #1 : Dude, we need to find land. Transcript by Addic7ed.com www.addic7ed.com"
1877,0,10880,The Big Bang Theory,21.11-24.17,s10e07_seg02_clip_00,What did the man in red cardigan has in his hand when walking to the door? ,A guitar box,"जब लाल कार्डिगन पहने आदमी दरवाजे की ओर चल रहा था, उसके हाथ में क्या था?",लाल कार्डिगन पहने आदमी के हाथ में आमतौर पर एक स्नैक या एक पेय होता है जब वह दरवाजे की ओर चल रहा होता है।,"जब red cardigan पहने आदमी दरवाजे की ओर चल रहा था, उसके हाथ में क्या था?",Red cardigan पहने आदमी के हाथ में usually एक snack या एक drink होता है जब वह दरवाजे की ओर चल रहा होता है।,"== sync, corrected by elderman == @elder_man  Sheldon : Thank you for your services, gentlemen.  Sheldon : Now, I'm hoping  Sheldon : to broaden our audience  Sheldon : with your youthful rock and roll music.  Howard : Aw,  Howard : you think you have an audience, that's funny.  Raj : We don't get paid? Nothing?  Raj : Not even a sandwich?  Amy : It's almost dinner time.  Amy : You in the mood for anything?  Sheldon : Yeah, we could get Thai food near your apartment  Sheldon : and then drop in and check on the progress.  Amy : Oh, you don't want do that, it's a construction zone.  Sheldon : So?  Amy : Well, what about your fear of stray nails and butt cracks?  Sheldon : I am terrified of stepping on a nail  Sheldon : and falling into a butt crack.  Amy : Anyway, how about dinner?  Sheldon : You know, if you'd like, I could  Sheldon : call your landlord and complain.  Amy : Thanks, but you don't have to."
1278,4,17517,Castle,14.11-23.21,castle_s05e01_seg02_clip_22,"What is Beckett using to conversate with the man, when he is on his cell?",telephone,"बेक्केट उस आदमी से बातचीत करने के लिए क्या इस्तेमाल कर रही थी, जब वह उसके सेल फोन पर था?",,Beckett उस आदमी से बात करने के लिए क्या इस्तेमाल कर रही है जब वह अपने सेलफोन पर होता है?,," Beckett : This is Kate Beckett.  Beckett : I can see you know the name.  Beckett : That's right. I'm watching.  Bracken : I don't know what this is about but I am not interested in playing games.  Beckett : Well, you better get interested.  Beckett : I have information that will destroy your career,  Beckett : and I will use it unless you do exactly as I say.  Ryan : We need to talk to Senator Bracken.  Security Man : He's in a meeting with a donor.  Castle : What donor? Where is he?  Security Man : He didn't say.  Esposito : Who you calling?  Ryan : - Gates? - Um...  Esposito : Put that phone away or I'm gonna break your frigging arm.  Ryan : Javi, we can't let her throw her life away.  Castle : - We don't know she's doing that. - What do you mean? You're the one who said she was gonna kill the guy! Hey, I know. Yes, that's right, but... But she hasn't done that yet, right?  Castle : Look, you make that call, you're labeling her an assassin.  Castle : That's a bell you can't unring.  Castle : So, let's not make that call, not yet.  Castle : All right.  Beckett : That's far enough. What do you want, Ms. Beckett?  Beckett : The truth."
237,3,114523,Castle,24.71-29.46,castle_s06e05_seg02_clip_23,What did Ward do when Beckett was interrogating him?,Ward just stared at her.,"जब बेकट वॉर्ड से पूछताछ कर रही थी, तो वॉर्ड ने क्या किया?",,Ward ने क्या किया जब Beckett उसे पूछताछ कर रही थी?,,"ESPOSITO : Freeze!  AUDIENCE GASPING AND MURMURING   Esposito : Don't even think about it.  Ryan : NYPD! Let me see your hands right now!  AUDIENCE SHOUTING INDISTINCTLY  Knife!  AUDIENCE SCREAMING   Ryan : You okay, kid? - EXHALES - HANDCUFFS CLINKING  BECKETT : Why Wickfield?  Beckett : Why Deschile?  Beckett : What were you hoping to accomplish?  Beckett : Who is that man?  Beckett : You ran from him at the power plant. Why?  Beckett : Mr. Ward, there is no record of you before 2007.  Beckett : Where are you from?  Castle : Okay, Ward.  Beckett : Whatever you thought you were doing,  Beckett : it's over."
1945,4,42008,Friends,2.24-13.45,friends_s05e10_seg02_clip_01,Why did Rachel want the group to watch when she mentioned Danny?,Rachel said he was still pretending that he's not interested.,"जब रैचल ने डैनी का ज़िक्र किया, तो उसने ग्रुप से देखने के लिए क्यों कहा?",रैचल चाहती थी कि ग्रुप देखे क्योंकि उसे लगता था कि डैनी उसे पसंद करता है और वह पुष्टि चाहती थी।,"जब Rachel ने Danny का जिक्र किया, तो उसने group से देखने के लिए क्यों कहा?",Rachel चाहती थी कि group देखे क्योंकि उसे लगा कि Danny उसे पसंद करता है और validation चाहती थी।," Phoebe : I lied! Oh, my God. Here's Danny.  Rachel : Just watch this.  Rachel : See? Still pretending he's not interested. He's coming over. Pretend we've forgotten who he is.  Danny : -Hey, guys. -Hey, Danny. Oh, Danny! Hey! You know Rachel. She's nice. She's not bad to look at, right?  Rachel : Thanks, Mon.  Danny : Of course.  Monica : Do you want to go out on a date with her?  Danny : Absolutely. Is Friday okay? Friday is perfect. She can't wait.  Danny : On the date, I'll be able to talk to her directly? See you Friday.  Rachel : Okay, what the hell was that? You know what? Don't answer me.  Rachel : I have a date with Danny! All right, it's 4 : 30, I guess my lunch break is over."
109,1,77256,Grey's Anatomy,49.47-71.26,grey_s02e07_seg02_clip_19,What is Burke's response when George asks if he should tell the wife?,Burke laughed when George asks if he should tell the wife.,"जब जॉर्ज ने पूछा कि क्या उसे पत्नी को बताना चाहिए, तो बर्क की प्रतिक्रिया क्या थी?","जब जॉर्ज पूछता है कि क्या उसे पत्नी को बताना चाहिए, तो बर्क हँसते हुए जवाब देता है।","जब George ने पूछा कि क्या उसे wife को बताना चाहिए, तो Burke ने कैसे respond किया?","जब George पूछता है कि क्या उसे पत्नी को बताना चाहिए, तो Burke हँसते हुए जवाब देता है।","You two, this isn't a zoo! Out, out, out!  Meredith walks further into the room, interrupting : You know, if all of you want to point and whisper and stare at me,  Meredith walks further into the room, interrupting : knock yourselves out!  Meredith walks further into the room, interrupting : Look at Meredith, isn't she sad, pathetic and heartbroken?  Meredith walks further into the room, interrupting : Maybe she's gone mental. Maybe I have!  Meredith walks further into the room, interrupting : But leave Mr. Herman alone!  Meredith to Cristina : You should be ashamed of yourself.  Meredith to Cristina : And what are you looking at?  George dazed : So do you tell his wife, or should I?  Nicole : This is... I want to thank you for helping me out in the surgery today, O'Malley.  Burke no longer laughing : It was a high-pressure situation today and you were on top of it.  George : Well, thank you, Dr. Burke. And, I'm sorry about before,"
821,3,57597,Friends,15.75-36.19,friends_s03e08_seg02_clip_02,Where was Monica when Joey asked his homo sapien question?,Monica was sitting to Rachel's left.,जब जोए ने अपने होमो सेपियन सवाल पूछा तो मोनिका कहां थी?,मोनिका किचन में थी या सोफे पर बैठी थी जब जोए ने होमो सेपियन सवाल पूछा।,जब Joey ने अपने homo sapien सवाल पूछा तो Monica कहां थी?,Monica kitchen में थी या sofa पर बैठी थी जब Joey ने homo sapien सवाल पूछा।," Ross : You? You want to watch Ben. That would be great! I just asked Monica...  Ross : ...because I know how empty her life is. I got a science question.  Joey : If the Homo sapiens were, in fact, ""homo"" sapiens... ...is that why they're extinct?  Ross : Joey, Homo sapiens are people. Hey, I'm not judging.  Rachel : Look, Benny. Spoon! Spoon! Come on. All right, you know what? I think he's bored. Here. You wanna play the airplane game?  Monica : You wanna show Rachel? Come here. You wanna do something fun? Okay."
254,0,78527,Friends,0-6.96,friends_s10e05_seg02_clip_24,Where did Phoebe put her rings after she took them off? ,On the table.,"जब फोबे ने अपनी अंगूठियां उतारीं, तब उसने उन्हें कहाँ रखा?","जब फोबे ने अपनी अंगूठियां उतारीं, तब उसने उन्हें अपने पर्स में रखा।","जब Phoebe ने अपनी rings उतारीं, तब उसने उन्हें कहाँ रखा?","जब Phoebe ने अपनी rings उतारीं, तब उसने उन्हें अपने purse में रखा।","Okay. Ready? Okay.  Mike : Phoebe, I love you. There's no one else in the world I would ask to marry me three times. But I want to take care of you...  Mike : ...have babies with you...  Mike : ...and grow old with you.  Mike : Phoebe Buffay, will you marry me? Yes.  Mike : - I love you. - I love you more.  Mike : Not possible.  Mike : She's gonna be Mrs. No Balls! So how's the baby-styling business going?  Amy : Not that great. It's almost as if people don't want to hear that their babies are ugly.  Rachel : That's shocking. There's Ross. Hey, Ross. Hello, Ross?  Amy : He's rude."
1448,2,12385,Castle,23.76-33.13,castle_s02e18_seg02_clip_26,What does the woman pick up from the desk after the man arrives?,She picks up her bags.,महिला ने आदमी के आने के बाद डेस्क से क्या उठाया?,,महिला उस डेस्क से क्या उठाती है जब वह आदमी पहुंचता है?,," Shaw : In the end, Dunn did actually face Nikki Heat.  Shaw : She is, after all, part you, part Castle.  Shaw : He cares about you, Kate.  Shaw : You may not see it, you may not be ready to, but he does.  Beckett : Yeah, well, the situation with Castle is complicated. Ah. Ladies.  Shaw : Detective Beckett, it's been a pleasure.  Beckett : We'll see you around.  Shaw : Castle, thank you for your help.  Shaw : You are a valuable asset to Detective Beckett's team.  Castle : It would be great if you would call her  Castle : and remind her of that from time to time.  Beckett : Wow. What's this?  Castle : Open it.  Beckett : My father's watch. Thank you.  Castle : You're welcome.  Castle : I found it in the wreckage, had it fixed.  Castle : - I've got good news. - Yeah?  Castle : I talked to Avery about buying one of those incredible Fed-mobiles.  Castle : Without the weapons, of course, but I could stock it with my own gadgets.  Castle : I could get ""Writer"" airbrushed across the back window.  Beckett : Ryan and Esposito have a better car than you do. I'm just... I'm embarrassed to have criminals in the back of that thing.  Castle : I don't know about your seat,  Castle : but mine's got a spring that hits me in the...  Martha : Richard, darling, you're just in time. I made dinner.  Castle : Mother, what are you doing here?  Martha : We're eating. You know, something families do, couple of times a day.  Alexis : - Hi, Dad. - Hi.  Castle : So, what about Chet? Darling, I never said I was going to be chained to the man's side. Besides, Martha Rodgers is a woman of mystery. And in order to maintain that, I'm going to have to divide my time accordingly.  Alexis : - Like having dual citizenship. - Exactly. Besides, it's better for my relationship with Chet. So, if I have to eat a few meals a week and do all of my laundry here, I'll just have to make that work.  Alexis : - I think that sounds like a fine plan. - Yes!  Castle : Well, I hope you'll be comfortable sleeping in the home theater chairs  Castle : I'm having delivered to your room. They do recline. Ah..."
402,0,82738,House M.D.,21.06-49.15,house_s03e21_seg02_clip_09,What does Scott say that Matty loves more than baseball after they take Matty out of the room?,He loves his brother more than he loves baseball.,स्कॉट क्या कहता है कि मैटी को बेसबॉल से ज्यादा क्या पसंद है जब वे मैटी को कमरे से बाहर निकालते हैं?,,Scott ने क्या कहा था कि Matty को बेसबॉल से ज्यादा क्या पसंद है जब वे Matty को कमरे से बाहर ले जा रहे थे?,," Cameron : You ready? Yeah. Thanks.  Matty : You'd do the same for me. Don't worry. You'll be fine. You think I'll be better in time to pitch in the playoffs?  Claudia : Maybe next season.  Scott : We should have told him.  Claudia : He loves his brother, but if he understood what we were asking of him...  Scott : He loves his brother more than he loves baseball.  Cameron : You did the right thing.  Cameron : Putting any part of this decision on him...  Cameron : It's impossible for you guys to deal with this. How's a 10-year-old supposed to do it?  Surgeon : Canula in place.  Surgeon : Sutures are holding.  Surgeon : We're all set to go.  Surgeon : Switch him over to bypass."
1970,3,78822,The Big Bang Theory,42.35-50.4,s09e07_seg02_clip_15,What does Sheldon do after he sees Amy kiss another man?,He turns around and goes home,शेल्डन एमी को किसी दूसरे आदमी को किस करते हुए देखने के बाद क्या करता है?,"शेल्डन शॉक और गहरी चोट महसूस करता है, भावनात्मक रूप से पीछे हट जाता है, और संभवतः स्थिति से चलकर चला जाता है।",Sheldon Amy को किसी दूसरे आदमी को kiss करते हुए देखने के बाद क्या करता है?,"Sheldon shock और गहरी hurt महसूस करता है, emotionally पीछे हट जाता है, और संभवतः situation से चलकर चला जाता है।"," Howard : not like the âcan we get a motorcycle  Howard : with a sidecar I'll think about itâ?  Bernadette : It's an actual âI'll think about it.â  Howard : I really believe I'd be a great dad.  Bernadette : I know you would.  Howard : Speaking of...  Howard : making babies, what do you say I wash up and poke around your crawlspace?  no voice   Kirk on screen : Dr. Dana feels he isn't that dangerous.  Kirk on screen : What makes you right and a trained psychiatrist wrong?"
1054,1,75103,How I Met You Mother,27.17-61.76,met_s03e19_seg02_clip_05,Who came in when Marshall and Lily was talking,Ted came in when Marshall and Lily was talking,"जब मार्शल और लिली बात कर रहे थे, तो कौन आया?","जब मार्शल और लिली बात कर रहे थे, तो लिली की बहन आई।","जब Marshall और Lily बात कर रहे थे, तो कौन आया?","जब Marshall और Lily बात कर रहे थे, तो Lily की sister आई।"," Marshall : I love your painting,  Marshall : I just... I'm trying to be realistic.  Lily : Well, how much money do we need  Lily : For the contractor to finish the job?  Marshall : About 1,500 bucks. So, if I sell three of my paintings at 500 bucks a pop,  Lily : Then I get to keep all my clothes.  Marshall : We need money fast.  Lily : Well, give me a week.  Marshall : Okay, a-a week. Fine. Fine.  Lily : Fine.  Ted : Pulling.  Marshall : Them.  Lily : Off. Lily's first move in the great art challenge of 2008  Ted from 2030 : Was to display one of her favorite paintings  Ted from 2030 : At her friend's gallery.  Ted from 2030 : The night didn't go so well. âª I'm just a painter âª I do my crappy art âª but I see what's in your eyes and I know... âª"
2099,4,90643,How I Met You Mother,22.41-29.41,met_s03e03_seg02_clip_09,What does Ted hand Lily before he looks in the mirror?,A wad of money,टेड ने आईने में देखने से पहले लिली को क्या सौंपा?,टेड ने आईने में देखने से पहले लिली को एक खास अंगूठी सौंपा।,Ted ने room से बाहर जाने से पहले क्या किया?,Ted ने mirror में देखने से पहले Lily को एक खास ring दी।," Ted : What are you doing?  Lily : I knew it. I had a hunch about that girl  Lily : And I was right. I saw 'em first!  Lily : You just made the list, bitch.  Lily : I cannot give up my bedroom to a boot thief.  Lily : She should be punished, not rewarded.  Ted : Fine, then I'll try to work in a little light spanking. Just do this for me!  Lily : No, never.  Ted : What if I reimburse you for the boots, full retail? Please enjoy our bedroom. Great. Just take it. Okay, wish me luck. Oh, my god. It looks fine. You're such a girl.  Robin : Where's the shaving cream?  Waitress : Well, you didn't ask me for shaving cream.  Robin : Well, it was implied.  Robin : Who buys a razor without buying shaving cream?  Waitress : Well, who doesn't shave their legs for a date?  Robin : Well, who's not getting a tip because of her attitude?  Waitress : Well, here's a little tip for you :   Waitress : Shave your legs before you leave the house, sasquatch."
